competitorId,competitor,url,elementType,rawText,scrapeDate,title,metaDescription,contentHash,cleaned_text,sentiment,vader_sentiment,average_sentiment,technical_keywords,value_keywords,intent
me,OpenAI,https://openai.com/,p,Product5 min read,2025-12-06T22:47:02.748431,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",b0307f2c777d087bd9ff8879b301bedfb32dd24b9e1d69b9c66b128958ef0980,product min read,0.0,0.0,0.0,0,2,Value Proposition
me,OpenAI,https://openai.com/,p,Product5 min read,2025-12-06T22:47:02.748464,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",b0307f2c777d087bd9ff8879b301bedfb32dd24b9e1d69b9c66b128958ef0980,product min read,0.0,0.0,0.0,0,2,Value Proposition
me,OpenAI,https://openai.com/,p,Product7 min read,2025-12-06T22:47:02.748468,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",2e49fd1a21cba13be554632f4433b431d4066117f9e717b86a37c34a369c23da,product min read,0.0,0.0,0.0,0,2,Value Proposition
me,OpenAI,https://openai.com/,p,Product7 min read,2025-12-06T22:47:02.748472,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",2e49fd1a21cba13be554632f4433b431d4066117f9e717b86a37c34a369c23da,product min read,0.0,0.0,0.0,0,2,Value Proposition
me,OpenAI,https://openai.com/,p,Product7 min read,2025-12-06T22:47:02.748475,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",2e49fd1a21cba13be554632f4433b431d4066117f9e717b86a37c34a369c23da,product min read,0.0,0.0,0.0,0,2,Value Proposition
me,OpenAI,https://openai.com/,h2,Latest news,2025-12-06T22:47:02.748478,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",f74e23c21f4131b4bb77f0f9cda4c427a447bde6a325e96050508cd352b5d146,latest news,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"CompanyDec 3, 2025",2025-12-06T22:47:02.748481,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",651d7e075debb08919996e9599cc59d9493fbb94b003483db703d4c211122789,companydec,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"CompanyDec 1, 2025",2025-12-06T22:47:02.748485,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",55e32b66e2f23f2aad2a31ec1309b4f2d1e4613a5da1b00779b4b592f3504e19,companydec,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"CompanyDec 1, 2025",2025-12-06T22:47:02.748488,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",55e32b66e2f23f2aad2a31ec1309b4f2d1e4613a5da1b00779b4b592f3504e19,companydec,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"CompanyDec 1, 2025",2025-12-06T22:47:02.748491,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",55e32b66e2f23f2aad2a31ec1309b4f2d1e4613a5da1b00779b4b592f3504e19,companydec,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"CompanyDec 1, 2025",2025-12-06T22:47:02.748495,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",55e32b66e2f23f2aad2a31ec1309b4f2d1e4613a5da1b00779b4b592f3504e19,companydec,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"CompanyNov 26, 2025",2025-12-06T22:47:02.748498,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",eb7a09cf490fdc44784b9fad229072bd793e2a53ec904d522cc6b68620539ba0,companynov,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,h2,Stories,2025-12-06T22:47:02.748500,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",6d09cf5748829bd23a36d4de1e81b3a5cf103b3902ef494f0fe66541b5d89bab,stories,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"GPT-5Aug 7, 20252 min read",2025-12-06T22:47:02.748504,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",626d276e58f94e9e772f4cc1790df99f2c6a6f4699f4ee9d4af0a0b4555540a0,gpt aug min read,0.0,0.0,0.0,0,1,Value Proposition
me,OpenAI,https://openai.com/,p,"GPT-5Aug 7, 20252 min read",2025-12-06T22:47:02.748508,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",626d276e58f94e9e772f4cc1790df99f2c6a6f4699f4ee9d4af0a0b4555540a0,gpt aug min read,0.0,0.0,0.0,0,1,Value Proposition
me,OpenAI,https://openai.com/,p,"GPT-5Aug 7, 20252 min read",2025-12-06T22:47:02.748512,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",626d276e58f94e9e772f4cc1790df99f2c6a6f4699f4ee9d4af0a0b4555540a0,gpt aug min read,0.0,0.0,0.0,0,1,Value Proposition
me,OpenAI,https://openai.com/,h2,Latest research,2025-12-06T22:47:02.748514,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",e3c4a8b6bef0ae0598ce42ecb18a6a72627897f4bf29e19c866cc6c8704ca14a,latest research,0.0,0.0,0.0,1,0,Technical
me,OpenAI,https://openai.com/,p,"ResearchDec 3, 2025",2025-12-06T22:47:02.748517,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",752e0aee64c8fece20afcd5e3af9722d3dfcc727fd3b67fa0a0adcaee4814097,researchdec,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,"ResearchNov 13, 2025",2025-12-06T22:47:02.748520,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",0d74c86f3b75541a9ec157c83e921e80d3fe78674270d107d07b24c918d168a0,researchnov,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,h2,OpenAI for business,2025-12-06T22:47:02.748524,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",0ad7351a30c03a188ad04441a80432ef72aeba54b4203fc56a7308848808d276,openai for business,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,API,2025-12-06T22:47:02.748527,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",c8e5998f6a3955c21d858936fe05c69621724d7f825c6e17793002a0fa798bf9,api,0.0,0.0,0.0,0,0,Other
me,OpenAI,https://openai.com/,p,ChatGPT,2025-12-06T22:47:02.748530,OpenAI,"We believe our research will eventually lead to artificial general intelligence, a system that can solve human-level problems. Building safe and beneficial AGI is our mission.",50a4122943273ad2f00ea92bff9c7cb6235e199f745321cb4272aa1857840463,chatgpt,0.0,0.0,0.0,0,0,Other
